country,currency,category,retailer,brand,product_name,barcode,barcode_length,price_local,price_usd,presentation,weight_kg,price_per_100g_local,price_per_kg_usd,segment,type,product_url,retailer_url,standard_category,price_local_numeric,barcode_harmonized,regional_sku,regional_overlap,competitive_index,price_positioning
Dominican Republic,DOP,Galletas,Jumbo,Aviva,Galleta De Soda Multicereal Aviva 9 Und,7468339190374,13,98.0,1.55,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-multicereal-aviva-9-und/18688,https://jumbo.com.do/galleta-de-soda-multicereal-aviva-9-und-paq-2122882?utm_source=supermercadosrd,Cookies,98.0,7468339190374,7468339190374,1,,Market
Dominican Republic,DOP,Galletas,Merca Jumbo,Aviva,Galleta De Soda Multicereal Aviva 9 Und,7468339190374,13,97.0,1.54,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-multicereal-aviva-9-und/18688,https://mercajumbo.com.do/?utm_source=supermercadosrd,Cookies,97.0,7468339190374,7468339190374,1,,Market
Dominican Republic,DOP,Galletas,Nacional,Aviva,Galleta De Soda Multicereal Aviva 9 Und,7468339190374,13,98.95,1.57,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-multicereal-aviva-9-und/18688,https://supermercadosnacional.com/galleta-de-soda-multicereal-aviva-9-und-paq-2122882?utm_source=supermercadosrd,Cookies,98.95,7468339190374,7468339190374,1,,Market
Dominican Republic,DOP,Galletas,Plaza Lama,Aviva,Galleta De Soda Multicereal Aviva 9 Und,7468339190374,13,104.0,1.65,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-multicereal-aviva-9-und/18688,https://plazalama.com.do/p/galletas-de-multicereal-con-miel-aviva-9-uds-7468339190374?utm_source=supermercadosrd,Cookies,104.0,7468339190374,7468339190374,1,,Market
Dominican Republic,DOP,Galletas,Sirena,Aviva,Galleta De Soda Multicereal Aviva 9 Und,7468339190374,13,103.0,1.63,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-multicereal-aviva-9-und/18688,https://sirena.do/products/index/galletas-de-soda-aviva-multicereal-con-miel-9-uds-?utm_source=supermercadosrd,Cookies,103.0,7468339190374,7468339190374,1,,Market
Dominican Republic,DOP,Galletas,Bravo,Hatuey,Galleta De Soda Saltina Hatuey 20 Und,1779801224184,13,149.0,2.36,20 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-saltina-hatuey-20-und/18853,https://bravova.superbravo.com.do/articulos/4773?utm_source=supermercadosrd,Cookies,149.0,1779801224184,1779801224184,1,,Market
Dominican Republic,DOP,Galletas,Garrido,Hatuey,Galleta De Soda Saltina Hatuey 20 Und,1779801224184,13,165.0,2.61,20 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-saltina-hatuey-20-und/18853,https://www.garrido.com.do/p/184867?utm_source=supermercadosrd,Cookies,165.0,1779801224184,1779801224184,1,,Market
Dominican Republic,DOP,Galletas,Jumbo,Hatuey,Galleta De Soda Saltina Hatuey 20 Und,1779801224184,13,148.0,2.35,20 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-saltina-hatuey-20-und/18853,https://jumbo.com.do/galleta-de-soda-saltina-hatuey-20-und-paq-2003665?utm_source=supermercadosrd,Cookies,148.0,1779801224184,1779801224184,1,,Market
Dominican Republic,DOP,Galletas,Merca Jumbo,Hatuey,Galleta De Soda Saltina Hatuey 20 Und,1779801224184,13,147.0,2.33,20 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-saltina-hatuey-20-und/18853,https://mercajumbo.com.do/?utm_source=supermercadosrd,Cookies,147.0,1779801224184,1779801224184,1,,Market
Dominican Republic,DOP,Galletas,Nacional,Hatuey,Galleta De Soda Saltina Hatuey 20 Und,1779801224184,13,148.95,2.36,20 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-saltina-hatuey-20-und/18853,https://supermercadosnacional.com/galleta-de-soda-saltina-hatuey-20-und-paq-2003665?utm_source=supermercadosrd,Cookies,148.95,1779801224184,1779801224184,1,,Market
